FIPS_code,State,grpName,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P1_CI_L_indicator,Lit_P1_CV_indicator,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P2_CI_L_indicator,Lit_P2_CV_indicator,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_P3_CV_indicator,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P1_CV_indicator,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P2_CI_L_indicator,Num_P2_CV_indicator,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_P3_CI_L_indicator,Num_P3_CV_indicator,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_DOMAIN,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance
22,Louisiana,25_34,0.196,0.104,0.29,0.242,NA,NA,0.353,0.211,0.482,0.196,NA,NA,0.451,0.358,0.558,0.114,NA,265.2,251.3,279.4,0.027,0.317,0.227,0.412,0.146,NA,0.362,0.224,0.489,0.188,NA,NA,0.321,0.225,0.431,0.162,NA,NA,243.8,228.8,258.7,0.031,NA,671295,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136,NA,0.572,NA,NA,NA,NA,NA,0.194,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,NA,0.231
23,Maine,25_34,0.069,0.008,0.154,0.539,NA,2,0.299,0.17,0.423,0.215,NA,NA,0.633,0.523,0.744,0.09,NA,285.8,267.2,303.7,0.032,0.146,0.065,0.232,0.284,NA,0.401,0.264,0.533,0.17,NA,NA,0.453,0.345,0.565,0.124,NA,NA,273.6,256.2,290.4,0.032,NA,153745,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,NA,0.673,NA,NA,NA,NA,NA,0.156,NA,NA,NA,NA,NA,NA,0.198,NA,NA,NA,NA,0.173
24,Maryland,25_34,0.192,0.096,0.31,0.284,NA,NA,0.275,0.128,0.409,0.262,NA,NA,0.533,0.439,0.629,0.091,NA,273.3,256.1,290.4,0.032,0.272,0.173,0.397,0.211,NA,0.273,0.125,0.41,0.268,NA,NA,0.455,0.36,0.556,0.108,NA,NA,261.4,245.5,277.3,0.031,NA,827210,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,NA,0.689,NA,NA,NA,NA,NA,0.098,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,0.144
25,Massachusetts,25_34,0.089,0.018,0.181,0.453,NA,1,0.256,0.127,0.373,0.246,NA,NA,0.654,0.558,0.763,0.077,NA,294.9,278,313.5,0.031,0.16,0.075,0.247,0.264,NA,0.291,0.152,0.417,0.229,NA,NA,0.549,0.445,0.662,0.098,NA,NA,279.6,262.8,296.9,0.031,NA,947080,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.067,NA,0.738,NA,NA,NA,NA,NA,0.114,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,0.06
26,Michigan,25_34,0.104,0.044,0.176,0.326,NA,1,0.269,0.152,0.382,0.217,NA,NA,0.627,0.536,0.723,0.077,NA,284.8,272.7,297.3,0.022,0.17,0.103,0.24,0.204,NA,0.317,0.186,0.435,0.201,NA,NA,0.513,0.414,0.628,0.106,NA,NA,273.7,261.6,285.8,0.023,NA,1219595,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,NA,0.68,NA,NA,NA,NA,NA,0.17,NA,NA,NA,NA,NA,NA,0.186,NA,NA,NA,NA,0.146
27,Minnesota,25_34,0.069,0.022,0.127,0.387,NA,1,0.245,0.137,0.344,0.216,NA,NA,0.686,0.598,0.782,0.067,NA,295.4,283.6,307.7,0.021,0.13,0.065,0.195,0.25,NA,0.272,0.155,0.379,0.208,NA,NA,0.598,0.51,0.693,0.078,NA,NA,285.4,273,298.2,0.023,NA,749395,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.064,NA,0.744,NA,NA,NA,NA,NA,0.107,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,0.1
28,Mississippi,25_34,0.236,0.13,0.366,0.256,NA,NA,0.278,0.1,0.444,0.315,NA,1,0.486,0.363,0.61,0.131,NA,256.5,239.7,272.8,0.033,0.311,0.212,0.43,0.18,NA,0.347,0.176,0.508,0.244,NA,NA,0.343,0.214,0.473,0.192,NA,NA,237.6,219.9,254.5,0.037,NA,389105,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136,NA,0.595,NA,NA,NA,NA,NA,0.219,NA,NA,NA,NA,NA,NA,0.178,NA,NA,NA,NA,0.26
29,Missouri,25_34,0.148,0.083,0.232,0.259,NA,NA,0.281,0.173,0.39,0.195,NA,NA,0.571,0.486,0.647,0.072,NA,273.5,262.8,283.9,0.02,0.22,0.16,0.304,0.168,NA,0.365,0.255,0.468,0.149,NA,NA,0.415,0.331,0.494,0.1,NA,NA,257.8,247,268.3,0.021,NA,805940,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086,NA,0.669,NA,NA,NA,NA,NA,0.153,NA,NA,NA,NA,NA,NA,0.179,NA,NA,NA,NA,0.193
30,Montana,25_34,0.082,0.022,0.167,0.455,NA,1,0.297,0.152,0.436,0.239,NA,NA,0.621,0.501,0.744,0.099,NA,281.8,264,299.5,0.033,0.14,0.064,0.222,0.286,NA,0.365,0.213,0.505,0.208,NA,NA,0.495,0.376,0.633,0.134,NA,NA,277.7,260.1,296.3,0.033,NA,129445,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.669,NA,NA,NA,NA,NA,0.153,NA,NA,NA,NA,NA,NA,0.201,NA,NA,NA,NA,0.206
31,Nebraska,25_34,0.14,0.06,0.231,0.308,NA,1,0.258,0.134,0.379,0.242,NA,NA,0.602,0.511,0.692,0.075,NA,282.7,266.8,298.4,0.028,0.191,0.114,0.269,0.202,NA,0.296,0.173,0.412,0.201,NA,NA,0.512,0.422,0.61,0.092,NA,NA,273,258.8,287.9,0.027,NA,253945,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.088,NA,0.721,NA,NA,NA,NA,NA,0.121,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,0.172
32,Nevada,25_34,0.205,0.106,0.319,0.264,NA,NA,0.35,0.145,0.544,0.284,NA,NA,0.445,0.284,0.61,0.188,NA,258.1,238,278.4,0.04,0.292,0.17,0.438,0.232,NA,0.355,0.151,0.544,0.281,NA,NA,0.353,0.211,0.51,0.212,NA,NA,248.6,228.4,268.9,0.042,NA,418525,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132,NA,0.583,NA,NA,NA,NA,NA,0.143,NA,NA,NA,NA,NA,NA,0.251,NA,NA,NA,NA,0.238
33,New Hampshire,25_34,0.105,0.032,0.209,0.431,NA,1,0.287,0.142,0.426,0.251,NA,NA,0.607,0.495,0.724,0.095,NA,281.7,262,301.6,0.036,0.181,0.096,0.292,0.272,NA,0.321,0.166,0.472,0.239,NA,NA,0.498,0.373,0.62,0.125,NA,NA,270.3,249.9,289.1,0.037,NA,156375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,NA,0.689,NA,NA,NA,NA,NA,0.101,NA,NA,NA,NA,NA,NA,0.181,NA,NA,NA,NA,0.156
34,New Jersey,25_34,0.173,0.085,0.283,0.298,NA,NA,0.256,0.118,0.382,0.26,NA,NA,0.572,0.485,0.66,0.077,NA,271.8,257,285.9,0.027,0.221,0.143,0.301,0.181,NA,0.32,0.207,0.428,0.178,NA,NA,0.459,0.379,0.549,0.095,NA,NA,261.7,248.7,275.3,0.026,NA,1151430,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.078,NA,0.693,NA,NA,NA,NA,NA,0.109,NA,NA,NA,NA,NA,NA,0.164,NA,NA,NA,NA,0.196
35,New Mexico,25_34,0.185,0.066,0.312,0.336,NA,1,0.289,0.112,0.469,0.317,NA,1,0.526,0.389,0.671,0.138,NA,264.9,245.8,283.7,0.036,0.266,0.159,0.378,0.208,NA,0.367,0.2,0.531,0.23,NA,NA,0.367,0.241,0.503,0.183,NA,NA,248.9,231.1,267.8,0.037,NA,278395,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131,NA,0.61,NA,NA,NA,NA,NA,0.217,NA,NA,NA,NA,NA,NA,0.205,NA,NA,NA,NA,0.218
36,New York,25_34,0.18,0.114,0.259,0.202,NA,NA,0.237,0.132,0.34,0.225,NA,NA,0.583,0.502,0.663,0.07,NA,273.7,262.4,284.5,0.02,0.246,0.177,0.338,0.17,NA,0.312,0.195,0.419,0.182,NA,NA,0.443,0.362,0.52,0.09,NA,NA,254.9,243.9,265.9,0.022,NA,2883165,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.698,NA,NA,NA,NA,NA,0.142,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,0.153
37,North Carolina,25_34,0.163,0.092,0.242,0.229,NA,NA,0.256,0.14,0.365,0.222,NA,NA,0.581,0.501,0.67,0.075,NA,279.1,266.8,291.2,0.022,0.225,0.156,0.293,0.153,NA,0.316,0.203,0.421,0.175,NA,NA,0.459,0.376,0.551,0.098,NA,NA,265.5,254,277.9,0.023,NA,1318590,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,0.667,NA,NA,NA,NA,NA,0.169,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,0.24
38,North Dakota,25_34,0.111,0.036,0.216,0.427,NA,1,0.281,0.144,0.405,0.232,NA,NA,0.608,0.511,0.695,0.077,NA,281.2,264.2,297.7,0.031,0.168,0.09,0.263,0.265,NA,0.348,0.215,0.475,0.19,NA,NA,0.485,0.382,0.588,0.106,NA,NA,269.3,252.7,285.6,0.032,NA,111460,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,0.728,NA,NA,NA,NA,NA,0.102,NA,NA,NA,NA,NA,NA,0.165,NA,NA,NA,NA,0.126
39,Ohio,25_34,0.118,0.047,0.199,0.33,NA,1,0.291,0.167,0.405,0.209,NA,NA,0.591,0.503,0.695,0.082,NA,282.9,267.3,300,0.029,0.198,0.12,0.279,0.198,NA,0.335,0.196,0.459,0.201,NA,NA,0.466,0.363,0.586,0.121,NA,NA,269.8,255.2,285.9,0.029,NA,1482710,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,NA,0.658,NA,NA,NA,NA,NA,0.164,NA,NA,NA,NA,NA,NA,0.18,NA,NA,NA,NA,0.137
40,Oklahoma,25_34,0.16,0.091,0.241,0.236,NA,NA,0.32,0.198,0.437,0.192,NA,NA,0.52,0.425,0.622,0.096,NA,270,255.2,284.8,0.028,0.254,0.182,0.329,0.146,NA,0.351,0.221,0.471,0.177,NA,NA,0.395,0.298,0.507,0.133,NA,NA,254.4,239.5,268.7,0.029,NA,538525,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111,NA,0.6,NA,NA,NA,NA,NA,0.165,NA,NA,NA,NA,NA,NA,0.175,NA,NA,NA,NA,0.259
41,Oregon,25_34,0.106,0.031,0.189,0.372,NA,1,0.21,0.078,0.35,0.326,NA,1,0.684,0.565,0.8,0.088,NA,286.1,268.3,303.6,0.031,0.154,0.086,0.231,0.236,NA,0.297,0.157,0.434,0.235,NA,NA,0.549,0.431,0.673,0.112,NA,NA,276.5,260.3,292.8,0.03,NA,558820,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.091,NA,0.688,NA,NA,NA,NA,NA,0.164,NA,NA,NA,NA,NA,NA,0.201,NA,NA,NA,NA,0.169
42,Pennsylvania,25_34,0.135,0.076,0.207,0.25,NA,NA,0.319,0.216,0.417,0.162,NA,NA,0.546,0.471,0.625,0.072,NA,276.6,266.8,286.5,0.018,0.229,0.168,0.301,0.148,NA,0.354,0.252,0.448,0.14,NA,NA,0.417,0.346,0.498,0.092,NA,NA,261.9,251.3,272.4,0.021,NA,1649490,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,NA,0.652,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,0.175,NA,NA,NA,NA,0.141
44,Rhode Island,25_34,0.144,0.054,0.245,0.333,NA,1,0.301,0.175,0.431,0.214,NA,NA,0.554,0.461,0.648,0.086,NA,274.8,257.8,290.4,0.03,0.208,0.128,0.293,0.204,NA,0.334,0.21,0.454,0.19,NA,NA,0.458,0.362,0.561,0.11,NA,NA,264.5,249.1,280,0.03,NA,140545,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086,NA,0.677,NA,NA,NA,NA,NA,0.137,NA,NA,NA,NA,NA,NA,0.206,NA,NA,NA,NA,0.149
45,South Carolina,25_34,0.167,0.074,0.264,0.287,NA,NA,0.327,0.196,0.451,0.197,NA,NA,0.506,0.424,0.597,0.087,NA,274.6,261.4,289.2,0.026,0.278,0.191,0.367,0.158,NA,0.319,0.189,0.44,0.203,NA,NA,0.403,0.314,0.509,0.122,NA,NA,257.5,243.9,271.9,0.028,NA,638520,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,0.62,NA,NA,NA,NA,NA,0.172,NA,NA,NA,NA,NA,NA,0.184,NA,NA,NA,NA,0.241
46,South Dakota,25_34,0.121,0.047,0.215,0.351,NA,1,0.295,0.164,0.424,0.224,NA,NA,0.584,0.475,0.68,0.088,NA,270.2,254.6,285.6,0.029,0.191,0.12,0.272,0.2,NA,0.357,0.226,0.482,0.182,NA,NA,0.452,0.341,0.562,0.121,NA,NA,264.4,248.5,280.1,0.03,NA,112690,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,NA,0.678,NA,NA,NA,NA,NA,0.143,NA,NA,NA,NA,NA,NA,0.169,NA,NA,NA,NA,0.187
47,Tennessee,25_34,0.13,0.069,0.2,0.259,NA,NA,0.349,0.236,0.454,0.159,NA,NA,0.521,0.436,0.61,0.086,NA,277,265.5,288.9,0.021,0.258,0.183,0.34,0.155,NA,0.357,0.233,0.469,0.17,NA,NA,0.385,0.3,0.484,0.123,NA,NA,259.3,246.6,272.3,0.025,NA,877785,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.095,NA,0.612,NA,NA,NA,NA,NA,0.174,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,0.204
48,Texas,25_34,0.241,0.176,0.315,0.146,NA,NA,0.293,0.189,0.396,0.181,NA,NA,0.465,0.385,0.546,0.089,NA,262.7,252.2,273.4,0.021,0.343,0.269,0.429,0.119,NA,0.311,0.202,0.409,0.168,NA,NA,0.347,0.282,0.414,0.097,NA,NA,244,233.8,254.3,0.022,NA,4002130,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131,NA,0.618,NA,NA,NA,NA,NA,0.148,NA,NA,NA,NA,NA,NA,0.162,NA,NA,NA,NA,0.302
49,Utah,25_34,0.122,0.045,0.221,0.37,NA,1,0.256,0.111,0.401,0.291,NA,NA,0.622,0.498,0.739,0.097,NA,279.2,262.1,295.4,0.03,0.211,0.128,0.315,0.224,NA,0.298,0.143,0.453,0.261,NA,NA,0.491,0.355,0.614,0.132,NA,NA,261.4,243.9,277.7,0.033,NA,444930,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,NA,0.703,NA,NA,NA,NA,NA,0.109,NA,NA,NA,NA,NA,NA,0.142,NA,NA,NA,NA,0.175
50,Vermont,25_34,0.096,0.027,0.178,0.39,NA,1,0.317,0.203,0.431,0.184,NA,NA,0.588,0.497,0.684,0.08,NA,281.3,264.6,296.5,0.028,0.182,0.111,0.259,0.208,NA,0.359,0.245,0.47,0.16,NA,NA,0.458,0.368,0.551,0.103,NA,NA,269.6,254.5,284.9,0.028,NA,71985,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069,NA,0.659,NA,NA,NA,NA,NA,0.128,NA,NA,NA,NA,NA,NA,0.193,NA,NA,NA,NA,0.106
51,Virginia,25_34,0.127,0.067,0.192,0.253,NA,NA,0.286,0.188,0.381,0.168,NA,NA,0.587,0.512,0.662,0.065,NA,282.7,271.3,294.4,0.021,0.226,0.16,0.311,0.169,NA,0.297,0.19,0.393,0.173,NA,NA,0.478,0.405,0.552,0.078,NA,NA,267.3,255.8,279.4,0.022,NA,1162785,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.077,NA,0.706,NA,NA,NA,NA,NA,0.111,NA,NA,NA,NA,NA,NA,0.168,NA,NA,NA,NA,0.181
53,Washington,25_34,0.113,0.042,0.196,0.338,NA,1,0.235,0.116,0.352,0.258,NA,NA,0.652,0.553,0.755,0.076,NA,287.8,272.3,304.5,0.029,0.184,0.114,0.264,0.203,NA,0.281,0.154,0.401,0.224,NA,NA,0.535,0.431,0.64,0.099,NA,NA,273.9,257.6,290.3,0.031,NA,1050215,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086,NA,0.695,NA,NA,NA,NA,NA,0.124,NA,NA,NA,NA,NA,NA,0.175,NA,NA,NA,NA,0.155
54,West Virginia,25_34,0.104,0.032,0.198,0.412,NA,1,0.365,0.19,0.532,0.24,NA,NA,0.531,0.385,0.683,0.144,NA,270.7,251.7,289.9,0.036,0.22,0.108,0.338,0.264,NA,0.492,0.312,0.664,0.184,NA,NA,0.288,0.152,0.433,0.248,NA,NA,256.9,236.5,277.6,0.04,NA,216830,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,0.563,NA,NA,NA,NA,NA,0.212,NA,NA,NA,NA,NA,NA,0.198,NA,NA,NA,NA,0.169
55,Wisconsin,25_34,0.096,0.023,0.185,0.433,NA,1,0.272,0.142,0.386,0.227,NA,NA,0.632,0.542,0.736,0.076,NA,290.5,278.1,303.8,0.022,0.169,0.09,0.25,0.235,NA,0.33,0.195,0.458,0.201,NA,NA,0.501,0.396,0.613,0.108,NA,NA,273.6,260.9,287.3,0.024,NA,728205,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066,NA,0.696,NA,NA,NA,NA,NA,0.126,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,0.123
56,Wyoming,25_34,0.103,0.033,0.183,0.363,NA,1,0.326,0.21,0.447,0.185,NA,NA,0.571,0.471,0.668,0.087,NA,278.1,262.5,292.4,0.027,0.187,0.11,0.272,0.219,NA,0.345,0.224,0.463,0.173,NA,NA,0.468,0.374,0.565,0.103,NA,NA,267.3,251.9,281.8,0.028,NA,81400,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.668,NA,NA,NA,NA,NA,0.105,NA,NA,NA,NA,NA,NA,0.191,NA,NA,NA,NA,0.203
1,Alabama,35_44,0.211,0.129,0.297,0.2,NA,NA,0.323,0.194,0.44,0.193,NA,NA,0.466,0.377,0.565,0.103,NA,266.3,252.7,281,0.027,0.316,0.241,0.393,0.122,NA,0.286,0.159,0.397,0.214,NA,NA,0.398,0.307,0.502,0.126,NA,NA,253.7,241.3,266.8,0.025,NA,601635,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126,NA,0.6,NA,NA,NA,NA,NA,0.149,NA,NA,NA,NA,NA,NA,0.134,NA,NA,NA,NA,0.173
2,Alaska,35_44,0.087,0.033,0.161,0.369,NA,1,0.295,0.166,0.414,0.213,NA,NA,0.617,0.513,0.735,0.091,NA,289.5,275.5,304.6,0.026,0.187,0.106,0.284,0.245,NA,0.356,0.22,0.48,0.189,NA,NA,0.458,0.363,0.563,0.112,NA,NA,272.4,259.1,286.5,0.025,NA,92305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052,NA,0.669,NA,NA,NA,NA,NA,0.081,NA,NA,NA,NA,NA,NA,0.149,NA,NA,NA,NA,0.189
4,Arizona,35_44,0.278,0.179,0.37,0.175,NA,NA,0.286,0.148,0.426,0.249,NA,NA,0.436,0.335,0.544,0.121,NA,259.5,243.8,278.8,0.034,0.336,0.249,0.431,0.136,NA,0.261,0.13,0.384,0.246,NA,NA,0.402,0.308,0.505,0.125,NA,NA,245.4,232.3,259.9,0.028,NA,841710,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151,NA,0.63,NA,NA,NA,NA,NA,0.15,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,0.173
5,Arkansas,35_44,0.187,0.093,0.276,0.245,NA,NA,0.365,0.232,0.495,0.185,NA,NA,0.448,0.354,0.549,0.112,NA,264.8,252.7,277.5,0.024,0.309,0.226,0.4,0.139,NA,0.333,0.2,0.458,0.198,NA,NA,0.358,0.261,0.465,0.145,NA,NA,250.8,238.9,263.5,0.025,NA,367460,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,NA,0.564,NA,NA,NA,NA,NA,0.151,NA,NA,NA,NA,NA,NA,0.135,NA,NA,NA,NA,0.174
6,California,35_44,0.326,0.257,0.397,0.109,NA,NA,0.251,0.147,0.353,0.208,NA,NA,0.424,0.347,0.507,0.096,NA,252.1,240.6,264.1,0.024,0.387,0.303,0.473,0.112,NA,0.237,0.13,0.34,0.227,NA,NA,0.376,0.312,0.445,0.091,NA,NA,239.9,229.8,250.5,0.022,NA,5180070,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181,NA,0.622,NA,NA,NA,NA,NA,0.133,NA,NA,NA,NA,NA,NA,0.149,NA,NA,NA,NA,0.159
8,Colorado,35_44,0.169,0.106,0.245,0.208,NA,NA,0.286,0.175,0.398,0.198,NA,NA,0.545,0.458,0.632,0.082,NA,271.4,258.1,285,0.025,0.26,0.184,0.352,0.166,NA,0.267,0.15,0.375,0.216,NA,NA,0.473,0.393,0.556,0.089,NA,NA,257.3,245.4,268.7,0.023,NA,736445,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099,NA,0.718,NA,NA,NA,NA,NA,0.087,NA,NA,NA,NA,NA,NA,0.142,NA,NA,NA,NA,0.139
9,Connecticut,35_44,0.186,0.111,0.274,0.222,NA,NA,0.271,0.151,0.388,0.223,NA,NA,0.543,0.454,0.633,0.084,NA,272.3,258.6,285.8,0.025,0.253,0.164,0.355,0.187,NA,0.299,0.174,0.415,0.208,NA,NA,0.449,0.369,0.538,0.095,NA,NA,260.8,249.1,272.7,0.023,NA,433400,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.083,NA,0.682,NA,NA,NA,NA,NA,0.085,NA,NA,NA,NA,NA,NA,0.161,NA,NA,NA,NA,0.1
10,Delaware,35_44,0.183,0.108,0.269,0.213,NA,NA,0.318,0.2,0.427,0.181,NA,NA,0.499,0.411,0.591,0.091,NA,269.9,255.8,284.1,0.026,0.3,0.219,0.391,0.148,NA,0.323,0.203,0.436,0.182,NA,NA,0.377,0.296,0.465,0.116,NA,NA,254.2,240.9,266.7,0.026,NA,110315,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.109,NA,0.619,NA,NA,NA,NA,NA,0.112,NA,NA,NA,NA,NA,NA,0.145,NA,NA,NA,NA,0.1
11,District of Columbia,35_44,0.173,0.068,0.306,0.35,NA,1,0.305,0.12,0.467,0.294,NA,NA,0.522,0.391,0.663,0.132,NA,276.1,257.3,296.7,0.036,0.241,0.122,0.387,0.282,NA,0.261,0.069,0.44,0.361,NA,1,0.498,0.37,0.644,0.14,NA,NA,263.6,244.9,282.9,0.037,NA,95605,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.073,NA,0.77,NA,NA,NA,NA,NA,0.111,NA,NA,NA,NA,NA,NA,0.141,NA,NA,NA,NA,0.064
12,Florida,35_44,0.236,0.164,0.317,0.161,NA,NA,0.299,0.188,0.41,0.187,NA,NA,0.465,0.38,0.549,0.092,NA,260.2,247.4,272.1,0.024,0.3,0.228,0.375,0.126,NA,0.341,0.239,0.437,0.149,NA,NA,0.359,0.291,0.435,0.103,NA,NA,249.8,239.3,260.6,0.022,NA,2465145,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.113,NA,0.622,NA,NA,NA,NA,NA,0.137,NA,NA,NA,NA,NA,NA,0.171,NA,NA,NA,NA,0.231
13,Georgia,35_44,0.21,0.15,0.283,0.156,NA,NA,0.34,0.247,0.431,0.139,NA,NA,0.45,0.381,0.517,0.079,NA,262.6,251.9,272.7,0.02,0.317,0.258,0.384,0.101,NA,0.306,0.213,0.394,0.153,NA,NA,0.377,0.308,0.449,0.096,NA,NA,251.2,241.1,260.8,0.02,NA,1374425,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127,NA,0.627,NA,NA,NA,NA,NA,0.14,NA,NA,NA,NA,NA,NA,0.134,NA,NA,NA,NA,0.217
15,Hawaii,35_44,0.142,0.062,0.248,0.337,NA,1,0.297,0.147,0.439,0.249,NA,NA,0.56,0.442,0.675,0.107,NA,276,255.7,294.2,0.035,0.201,0.1,0.319,0.285,NA,0.357,0.192,0.509,0.224,NA,NA,0.443,0.332,0.559,0.131,NA,NA,262.8,245.9,279.3,0.032,NA,177405,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,NA,0.698,NA,NA,NA,NA,NA,0.082,NA,NA,NA,NA,NA,NA,0.181,NA,NA,NA,NA,0.056
16,Idaho,35_44,0.136,0.086,0.188,0.185,NA,NA,0.329,0.238,0.416,0.138,NA,NA,0.535,0.455,0.621,0.078,NA,275.4,265.1,286.1,0.019,0.234,0.179,0.298,0.13,NA,0.304,0.167,0.415,0.203,NA,NA,0.461,0.368,0.572,0.111,NA,NA,263.3,253.2,273.2,0.019,NA,204515,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097,NA,0.661,NA,NA,NA,NA,NA,0.122,NA,NA,NA,NA,NA,NA,0.138,NA,NA,NA,NA,0.186
17,Illinois,35_44,0.188,0.133,0.253,0.16,NA,NA,0.31,0.218,0.403,0.148,NA,NA,0.501,0.428,0.569,0.07,NA,266.2,255.7,276,0.02,0.287,0.233,0.35,0.104,NA,0.292,0.209,0.375,0.145,NA,NA,0.421,0.356,0.486,0.077,NA,NA,253.5,244,262.5,0.018,NA,1661675,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.107,NA,0.666,NA,NA,NA,NA,NA,0.115,NA,NA,NA,NA,NA,NA,0.142,NA,NA,NA,NA,0.135
18,Indiana,35_44,0.155,0.093,0.226,0.214,NA,NA,0.323,0.214,0.424,0.165,NA,NA,0.522,0.439,0.611,0.082,NA,274,262.7,285.5,0.021,0.259,0.197,0.328,0.129,NA,0.328,0.225,0.427,0.159,NA,NA,0.412,0.333,0.498,0.103,NA,NA,260,248.5,271.2,0.022,NA,821580,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.105,NA,0.618,NA,NA,NA,NA,NA,0.124,NA,NA,NA,NA,NA,NA,0.135,NA,NA,NA,NA,0.151
19,Iowa,35_44,0.095,0.034,0.156,0.33,NA,1,0.353,0.248,0.455,0.145,NA,NA,0.552,0.469,0.638,0.077,NA,278.6,264.2,294.7,0.027,0.218,0.146,0.299,0.176,NA,0.316,0.201,0.426,0.182,NA,NA,0.466,0.38,0.56,0.097,NA,NA,266.4,254.4,279.2,0.023,NA,367235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,NA,0.7,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,NA,NA,0.127,NA,NA,NA,NA,0.084
