FIPS_code,State,grpName,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P1_CI_L_indicator,Lit_P1_CV_indicator,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P2_CI_L_indicator,Lit_P2_CV_indicator,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_P3_CV_indicator,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P1_CV_indicator,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P2_CI_L_indicator,Num_P2_CV_indicator,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_P3_CI_L_indicator,Num_P3_CV_indicator,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_DOMAIN,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance
38,North Dakota,all,0.134,0.107,0.168,0.111,NA,NA,0.313,0.273,0.35,0.062,NA,NA,0.553,0.519,0.588,0.032,NA,275.9,270,281.3,0.01,0.21,0.18,0.244,0.076,NA,0.347,0.303,0.386,0.059,NA,NA,0.443,0.403,0.484,0.045,NA,NA,264.2,257.9,270.1,0.012,745475,541475,0.513,0.487,0.877,0.023,0.033,0.014,0.053,0,0.032,0.077,0.271,0.652,0.106,0.013,0.018,0.005,0.036,0.11,0.183,0.072,0.78,0.022,0.185,0.359,0.17,0.216,0.125,0.006,0.125,0.08
39,Ohio,all,0.177,0.149,0.203,0.075,NA,NA,0.365,0.328,0.401,0.051,NA,NA,0.457,0.427,0.493,0.036,NA,268.5,263.6,274.4,0.01,0.288,0.257,0.319,0.053,NA,0.36,0.319,0.397,0.054,NA,NA,0.352,0.318,0.392,0.053,NA,NA,253.7,248.6,259.9,0.011,11609756,8490330,0.49,0.51,0.819,0.123,0.036,0.02,0.002,0,0.036,0.102,0.336,0.562,0.148,0.01,0.021,0.012,0.043,0.149,0.236,0.142,0.697,0.049,0.252,0.361,0.172,0.233,0.075,0.001,0.158,0.074
40,Oklahoma,all,0.201,0.173,0.237,0.08,NA,NA,0.362,0.318,0.403,0.058,NA,NA,0.437,0.4,0.473,0.042,NA,263,257.5,268.2,0.01,0.31,0.278,0.348,0.056,NA,0.362,0.318,0.402,0.06,NA,NA,0.329,0.289,0.367,0.059,NA,NA,247.3,241.1,252.7,0.012,3896251,2800905,0.496,0.504,0.726,0.073,0.101,0.021,0.074,0.001,0.105,0.125,0.315,0.56,0.205,0.012,0.033,0.014,0.059,0.162,0.27,0.134,0.666,0.042,0.285,0.339,0.173,0.237,0.114,0.006,0.132,0.149
41,Oregon,all,0.168,0.136,0.202,0.097,NA,NA,0.284,0.237,0.327,0.08,NA,NA,0.548,0.508,0.591,0.038,NA,273.2,266.4,279.9,0.012,0.247,0.21,0.283,0.074,NA,0.307,0.26,0.352,0.074,NA,NA,0.446,0.402,0.491,0.05,NA,NA,260.4,253.4,267.6,0.014,4025127,2997670,0.495,0.505,0.849,0.019,0.127,0.041,0.011,0.004,0.076,0.098,0.234,0.668,0.198,0.015,0.054,0.03,0.099,0.149,0.243,0.178,0.686,0.051,0.261,0.381,0.182,0.23,0.089,0.001,0.118,0.088
42,Pennsylvania,all,0.181,0.157,0.202,0.063,NA,NA,0.375,0.341,0.408,0.045,NA,NA,0.444,0.416,0.476,0.034,NA,266.2,262.8,269.9,0.007,0.287,0.258,0.313,0.048,NA,0.376,0.34,0.41,0.047,NA,NA,0.337,0.308,0.372,0.049,NA,NA,252.4,248.5,256.6,0.008,12790505,9434820,0.489,0.511,0.811,0.111,0.068,0.033,0.002,0,0.043,0.101,0.356,0.543,0.181,0.014,0.033,0.019,0.066,0.131,0.212,0.13,0.696,0.049,0.254,0.378,0.173,0.233,0.082,0,0.133,0.071
44,Rhode Island,all,0.204,0.167,0.239,0.088,NA,NA,0.322,0.271,0.373,0.08,NA,NA,0.474,0.426,0.521,0.05,NA,266,257.7,274.4,0.015,0.296,0.254,0.336,0.069,NA,0.321,0.267,0.372,0.082,NA,NA,0.383,0.33,0.434,0.068,NA,NA,252.8,244,261.6,0.017,1056138,794525,0.485,0.515,0.809,0.065,0.146,0.034,0.005,0.001,0.086,0.127,0.279,0.594,0.2,0.023,0.062,0.052,0.137,0.134,0.21,0.161,0.707,0.053,0.236,0.381,0.195,0.236,0.074,0.004,0.111,0.067
45,South Carolina,all,0.224,0.194,0.249,0.063,NA,NA,0.352,0.314,0.386,0.05,NA,NA,0.424,0.395,0.461,0.039,NA,262.9,257.9,269.2,0.01,0.35,0.315,0.378,0.045,NA,0.327,0.287,0.366,0.059,NA,NA,0.323,0.29,0.366,0.058,NA,NA,246.4,241.2,252.6,0.012,4893444,3620280,0.486,0.514,0.673,0.272,0.055,0.015,0.003,0.001,0.037,0.135,0.294,0.571,0.204,0.009,0.028,0.012,0.049,0.166,0.27,0.14,0.657,0.053,0.28,0.335,0.179,0.241,0.091,0.008,0.146,0.121
46,South Dakota,all,0.149,0.12,0.182,0.105,NA,NA,0.343,0.301,0.384,0.06,NA,NA,0.509,0.47,0.545,0.036,NA,271.1,265.2,276.5,0.01,0.237,0.204,0.271,0.071,NA,0.368,0.327,0.41,0.057,NA,NA,0.395,0.355,0.436,0.05,NA,NA,259.1,253.2,264.9,0.011,855444,606895,0.503,0.497,0.847,0.017,0.035,0.014,0.087,0,0.035,0.086,0.305,0.609,0.152,0.01,0.018,0.005,0.033,0.139,0.225,0.106,0.765,0.031,0.199,0.353,0.166,0.237,0.112,0.002,0.129,0.097
47,Tennessee,all,0.217,0.192,0.243,0.059,NA,NA,0.379,0.344,0.42,0.05,NA,NA,0.404,0.369,0.435,0.042,NA,260.1,255.7,264.4,0.008,0.34,0.312,0.373,0.045,NA,0.355,0.318,0.393,0.053,NA,NA,0.305,0.269,0.338,0.056,NA,NA,245,240.1,249.6,0.01,6597381,4862055,0.488,0.512,0.778,0.168,0.052,0.017,0.003,0.001,0.034,0.135,0.326,0.539,0.219,0.011,0.029,0.01,0.05,0.167,0.271,0.157,0.666,0.048,0.282,0.344,0.168,0.242,0.088,0.004,0.155,0.109
48,Texas,all,0.282,0.256,0.308,0.047,NA,NA,0.318,0.286,0.352,0.052,NA,NA,0.4,0.372,0.427,0.036,NA,253.6,249.9,257.3,0.007,0.385,0.357,0.413,0.037,NA,0.306,0.273,0.338,0.054,NA,NA,0.309,0.282,0.336,0.046,NA,NA,238,234,242,0.008,27419612,19697715,0.497,0.503,0.746,0.12,0.389,0.045,0.005,0.001,0.083,0.172,0.251,0.577,0.217,0.027,0.091,0.05,0.169,0.16,0.264,0.127,0.68,0.043,0.272,0.358,0.174,0.238,0.108,0.004,0.118,0.182
